,BC07_tumor,BC07,BC08_tumor,BC08,BC09_tumor,BC09,BC10_tumor,BC10
Ctdsp2,5803,6160,6656,10647,9906,4798,8098,7271
Avil,341,98,19,40,216,53,130,27
Tsfm,531,564,444,464,762,747,565,687
Eef1akmt3,9,14,44,18,18,6,19,20
Mettl1,675,720,522,532,607,554,479,695
Cyp27b1,10,10,13,21,27,8,19,18
Marchf9,15,14,64,92,181,52,88,29
Cdk4,7093,8211,5085,10053,9677,8653,7462,11442
Tspan31,1193,1387,2109,1907,2467,2443,1740,1840
Agap2,4,2,12,42,34,18,5,11
Os9,1415,1291,2288,1937,1938,1505,1653,1410
B4galnt1,68,41,532,326,482,275,627,656
Slc26a10,4,7,25,22,24,18,10,9
Arhgef25,564,358,2111,1909,1279,569,1595,1341
Dtx3,384,310,819,1132,1241,339,705,750
Pip4k2c,679,591,875,737,1071,921,859,1186
Kif5a,27,13,59,100,49,29,49,52
Dctn2,2146,1938,2578,2578,3237,2250,2564,2980
Mbd6,1154,999,827,1100,1450,723,715,1057
Ddit3,332,179,390,218,1461,181,581,441
Mars1,3632,4055,2835,3094,6045,4237,3305,4183
Arhgap9,232,256,15,0,65,17,11,2
Gli1,3582,3718,13,47,107,83,74,60
Inhbe,0,0,0,0,2,0,0,0
Inhbc,0,0,0,0,0,0,0,0
R3hdm2,1539,1851,1787,1945,2171,1512,1373,2240
Stac3,29,26,8,12,4,1,13,16
Ndufa4l2,18,13,99,3,169,0,345,8
Shmt2,5510,6923,3590,5080,11522,7704,5809,7535
Nxph4,3,12,41,11,21,8,74,7
Lrp1,6623,3966,30153,6603,10445,5298,19276,21413
Stat6,1261,1251,2025,1306,2090,1697,1819,2449
Nab2,1134,1103,2009,1221,1578,1949,1395,1507
Nemp1,954,1232,534,847,1044,1219,512,969
Myo1a,5,7,10,11,10,8,11,24
Tac2,2,0,0,0,0,0,0,0
Zbtb39,404,479,303,292,391,607,330,539
Gpr182,4,4,4,3,2,3,7,4
Rdh1,0,0,1,0,0,0,2,4
Rdh9,0,0,0,1,0,3,2,3
Rdh16,0,0,0,0,0,0,0,0
Rdh19,0,0,0,0,0,0,0,0
Rdh16f2,0,0,0,0,0,0,0,0
Rdh7,0,0,0,0,0,0,0,0
Sdr9c7,0,4,0,0,0,0,0,0
Hsd17b6,0,0,0,0,0,0,0,0
Prim1,1141,1129,672,1250,1394,1280,863,1409
Naca,8591,9216,7964,9781,11188,11775,8217,11785
Ptges3,4956,5445,3862,4286,6289,6646,4167,7659
Atp5f1b,25806,32347,21829,28711,33384,34717,26391,38728
Baz2a,1828,2200,1437,1222,2148,2416,1481,1946
Rbms2,1914,2178,2367,2050,3051,2684,2762,2575
Gls2,109,206,131,155,710,861,201,226
Spryd4,191,238,231,270,315,249,184,184
Mip,0,1,0,0,0,3,0,0
Timeless,1205,1471,784,1645,1957,1462,1001,1484
Apon,6,8,3,3,4,16,19,7
Apof,27,0,0,5,7,0,0,1
Stat2,1369,154,312,204,394,260,451,317
Il23a,0,2,1,1,5,4,5,0
Pan2,975,853,392,963,885,522,554,935
Cnpy2,1286,1076,1020,1835,1808,1020,1038,1197
Cs,4299,5600,5976,5231,5930,7933,5649,9141
Coq10a,190,132,164,185,292,133,163,120
Ankrd52,2216,3253,4264,2793,2370,3136,3101,4995
Slc39a5,36,38,33,19,26,31,27,46
Nabp2,1235,1349,879,1114,1432,1597,1010,1859
Rnf41,576,563,985,757,946,723,899,947
Smarcc2,1653,1770,2451,3332,2196,1641,2112,2955
Myl6,6551,5309,10641,5899,5464,4594,7825,7893
Myl6b,48,75,62,44,87,48,50,55
Esyt1,1185,1117,4627,1647,2539,1135,2785,1422
Zc3h10,358,349,287,405,552,425,298,431
Rpl41,11047,12911,10010,15431,13474,15486,12424,18274
Pa2g4,7700,8705,5517,7529,10727,12750,6833,14190
Erbb3,67,93,70,616,2506,74,5,3
Gm9182,0,7,0,2,0,0,2,3
Rps26,12808,13065,7923,15087,15849,14661,10439,14883
Ikzf4,66,40,38,56,52,9,30,11
Suox,155,169,347,169,219,157,133,119
Rab5b,977,1071,1507,1521,1438,1026,1251,1169
Pmel,11,14,21,12,656,36,12,3
Cdk2,1162,1365,946,1462,1719,1201,979,1403
Dgka,65,54,275,203,261,69,158,32
Pym1,362,396,287,357,524,337,361,467
Mmp19,64,45,790,100,822,156,372,166
Tmem198b,305,402,628,296,382,224,391,292
Dnajc14,1081,963,1385,1139,1382,1128,1118,1225
Ormdl2,212,279,151,196,351,300,207,262
Sarnp,1324,1461,636,985,1290,1313,820,1303
Gdf11,135,234,523,391,359,364,748,465
Cd63,6723,6218,13786,7017,15313,10088,15816,12030
Rdh5,33,25,17,46,41,24,33,50
Bloc1s1,394,243,334,467,540,289,383,352
Itga7,86,40,465,155,397,266,1224,471
Tmt1b,0,0,4,0,4,1,39,14
Or10p22,0,0,0,0,0,0,2,0
Or10p21,0,0,0,0,0,0,0,0
Or6c8,0,0,0,0,0,0,0,0
Or6c38,0,0,0,0,0,0,0,0
Or6c2b,0,0,0,0,0,0,0,0
Or6c201,0,0,0,0,0,0,0,0
Or6c202,0,0,0,0,0,0,0,0
Or6c203,0,0,0,0,0,0,0,0
Or6c204,0,0,0,0,0,0,0,0
Or6c5,0,0,0,0,0,0,0,0
Or6c205,0,0,0,0,0,0,0,0
Or6c206,0,0,0,0,0,0,0,0
Or6c207,0,0,0,0,0,0,0,0
Or6c68,0,0,0,0,0,0,0,0
Or6c35,0,0,0,0,0,0,0,0
Or6c6,0,0,0,0,0,0,0,0
Or6c208,0,0,0,0,0,0,0,0
Or6c5b,0,0,0,0,0,0,0,0
Or6c1b,0,0,0,0,0,0,0,0
Or6c5c,0,0,0,0,0,0,0,0
Or6c3,0,0,0,0,0,0,0,0
Or6c7,0,0,0,0,0,0,0,0
Or6c75,0,0,0,0,0,0,0,0
Or6c2,0,0,0,0,0,0,0,0
Or6c66b,0,0,0,0,0,0,0,0
Or6c88,0,0,0,0,0,0,0,0
Or10p1,0,0,0,0,0,0,0,0
Or6c66,0,0,0,0,0,0,0,0
Or6c209,0,0,0,0,0,0,0,0
Or6c210,0,0,0,0,0,0,0,0
Or6c211,0,0,0,0,0,0,0,0
Or6c1,0,0,0,0,0,0,0,0
Or6c3b,0,0,0,0,0,0,0,0
Or6c6c,0,0,0,0,0,0,0,0
Or6c212,1,0,0,0,0,0,17,1
Or6c213,0,0,0,0,0,0,0,0
Or6c214,0,0,0,0,0,0,0,0
Or6c65,0,0,0,0,0,0,0,0
Or6c76,0,0,0,0,0,0,3,0
Or6c69b,0,0,0,0,0,0,4,2
Or6c215,0,0,0,0,0,0,0,0
Or6c216,0,0,0,0,0,0,0,0
Or6c76b,0,0,0,0,0,0,0,0
Or6c70,0,0,0,0,0,0,0,0
Or6c217,0,0,0,0,0,0,0,0
Or6c69,0,0,0,0,0,0,0,0
Or6c219,0,0,0,0,0,0,0,0
Or10u4,0,0,0,0,0,0,0,0
Or10u3,0,0,0,0,0,0,0,0
Gm10310,0,0,0,0,0,0,0,0
Or6c33,0,0,0,0,0,0,0,0
Or6c74,0,0,0,0,0,0,0,0
Or6c69c,0,0,0,0,0,0,0,0
Or9r3,0,0,0,0,0,0,0,0
Or9r7,0,0,0,0,0,0,0,0
Or9k2,0,0,0,0,0,0,0,0
Or9k2b,0,0,0,0,0,0,0,0
Or9k7,0,0,0,0,0,0,0,0
Neurod4,0,0,1,0,0,0,0,0
Tespa1,0,0,0,0,0,0,0,0
Vmn2r84,0,0,0,0,0,0,0,0
Vmn2r85,0,0,0,0,0,0,0,0
Vmn2r86,0,0,0,0,0,0,0,0
Vmn2r87,0,0,0,0,0,0,0,0
Gm31793,192,154,76,155,257,172,121,265
Ftl1-ps2,427,766,524,385,375,752,829,903
Sfi1,381,271,289,717,367,242,163,234
Gm51877,3,2,1,3,3,1,0,0
Eif4enif1,1560,1833,1834,2883,2887,2374,1972,2721
Drg1,1232,1426,1487,2589,1897,1885,1334,2093
Patz1,655,892,640,1316,1041,876,585,981
Pik3ip1,286,278,104,923,434,62,127,77
Limk2,1347,1153,1133,1267,1188,832,787,691
Rnf185,589,597,670,861,940,646,531,628
Pla2g3,63,98,1,3,10,8,1,2
Inpp5j,36,171,1,0,0,1,1,0
Selenom,748,1001,1027,265,427,172,672,326
Smtn,936,792,3729,1139,1086,1174,1238,1509
Tug1,2346,2412,2043,3813,2232,1560,1511,2223
Morc2a,2669,2945,1931,3330,2898,2640,1632,2730
Osbp2,176,193,20,18,21,25,6,6
4921536K21Rik,19,24,19,12,21,34,17,37
Dusp18,259,357,245,321,402,192,307,427
Slc35e4,508,454,856,598,751,903,563,1168
Tcn2,158,15,1118,114,614,66,387,63
Pes1,3572,3878,2686,4962,5157,5085,2870,5289
Gal3st1,8,2,5,17,15,0,2,6
Gm11954,1,6,0,2,2,1,3,3
Sec14l4,0,2,0,0,0,0,0,0
Sec14l3,0,0,0,0,0,0,0,0
Mtfp1,117,120,69,144,260,86,52,110
Sec14l2,58,28,65,21,76,14,8,4
Rnf215,238,170,418,394,226,208,228,285
Ccdc157,220,198,287,685,358,178,211,279
Sf3a1,2886,3351,2575,4452,3427,4083,2321,3900
Tbc1d10a,512,463,884,717,737,394,472,565
Castor1,93,126,239,210,117,66,178,187
Osm,2,6,7,0,2,0,5,0
Lif,159,96,502,14,369,58,159,54
Hormad2,8,5,0,1,0,0,3,3
Mtmr3,1286,1503,1266,1977,2225,1389,1331,1661
Ascc2,1015,1082,1056,1673,1913,1328,1086,1405
Uqcr10,1087,1110,705,1286,1113,829,663,889
Zmat5,202,205,121,312,239,189,110,150
Cabp7,0,3,2,3,1,0,4,1
Nf2,2712,3221,2214,3250,3432,3405,2042,3452
Nipsnap1,285,385,272,337,532,155,119,126
Thoc5,1049,1047,1109,1762,1521,1599,858,1414
Nefh,2,2,4,14,13,9,3,4
Ap1b1,1240,1375,1660,2235,1977,1812,1479,1839
Gas2l1,753,788,1474,1198,696,1095,884,1449
Rasl10a,8,5,6,10,11,11,6,16
Ewsr1,6050,7113,4124,8959,6322,6292,4467,8473
Rhbdd3,346,296,246,447,334,134,200,296
Emid1,14,13,26,43,16,5,2,2
Gm39572,0,0,5,0,0,0,0,0
Kremen1,516,391,1400,936,1024,968,1042,759
Znrf3,389,522,332,527,475,643,263,613
Xbp1,1450,783,2432,1822,1868,541,1829,682
Ccdc117,731,741,515,848,1294,934,478,869
Gm11964,2,10,6,10,5,10,5,9
Mrps24,725,730,785,1211,1062,1178,661,986
Urgcp,449,537,851,963,857,850,648,861
Dbnl,1509,1589,1936,2797,1817,2263,1603,2158
Pgam2,52,34,28,40,43,56,31,38
Polm,174,144,309,293,476,234,265,298
Aebp1,8375,6761,25173,11192,12540,11811,11142,12312
Pold2,2529,2881,1474,3123,3096,2829,1765,3540
Myl7,10,9,3,0,0,1,0,3
Gck,15,2,4,0,4,1,8,6
Ykt6,1530,1656,2604,2187,2328,1873,1906,2211
Camk2b,21,31,10,4,203,16,3,7
Nudcd3,1640,1917,2428,2798,2234,2976,1783,2953
Npc1l1,7,3,0,0,0,3,1,2
Ddx56,1734,1881,1484,2844,2385,2414,1380,2172
Tmed4,937,995,1302,1508,1441,1100,1076,1076
Ogdh,2603,3693,4261,5032,4109,4869,3189,4379
Zmiz2,1549,1454,1564,2162,2829,2449,1730,2937
Ppia,24931,26582,22183,38505,27447,29127,21514,34867
H2az2,1105,1135,589,2082,1637,563,665,707
Gm11971,3,4,1,3,0,0,6,2
Purb,3884,5313,4709,6202,4332,5676,3737,6142
Myo1g,9,1,27,1,2,2,17,2
Ccm2,964,802,1602,1103,1328,1485,1082,1363
Nacad,15,23,261,33,59,13,82,23
Tbrg4,1890,2296,1910,2677,2435,2604,1626,3202
Wap,0,1,0,0,0,0,0,0
Ramp3,0,7,38,8,102,41,66,115
Gm53666,89,71,121,234,231,68,84,168
Adcy1,9,0,215,98,18,19,87,94
Igfbp1,0,0,0,0,0,0,0,0
Igfbp3,103,0,757,703,1142,160,186,60
Tns3,7606,8600,7885,2915,6235,3888,4719,5765
Pkd1l1,2,3,9,0,1,2,0,0
Gm40814,20,26,47,71,106,31,17,62
Hus1,543,645,572,967,879,735,465,811
Sun3,2,3,2,2,2,1,1,0
Gm11992,3,1,0,10,14,4,4,4
Upp1,13,1,54,0,19,9,10,5
Abca13,0,0,6,4,0,0,1,0
Vwc2,0,0,3,1,3,0,2,0
Zpbp,0,4,24,21,15,4,19,31
Spmip7,0,0,4,0,7,0,6,4
4930512M02Rik,0,0,0,0,0,0,0,0
Ikzf1,3,0,11,0,1,0,5,0
Fignl1,691,855,684,1336,995,842,631,1011
Ddc,10,2,15,87,9,0,24,47
Grb10,2472,5206,8127,28667,11134,6490,8668,9667
Cobl,12,20,176,56,47,16,14,11
Pom121l12,0,0,0,0,0,0,0,0
Vstm2a,1,0,9,0,0,1,10,2
Sec61g,846,824,1166,1457,1234,938,983,931
Egfr,515,400,3356,2158,820,489,1001,743
Fbxo48,141,129,210,293,148,213,109,292
Plek,33,2,65,20,48,7,113,17
Cnrip1,10,1,296,169,412,164,330,271
Ppp3r1,2022,2361,3599,3320,3449,2880,2573,3573
Pno1,1355,1402,1597,1552,1541,2590,1240,2428
Dnaaf10,466,512,364,645,867,554,391,634
C1d,862,729,975,1426,1318,1255,695,1161
Etaa1,394,439,360,567,455,575,380,602
Meis1,54,53,571,1019,370,185,575,589
Spred2,750,941,1106,872,1462,1740,934,1682
Actr2,3633,4772,5710,5384,5260,5940,4592,7408
Rab1a,3519,4117,5985,6092,5112,4339,4571,5107
Cep68,944,1097,844,2009,1699,959,693,1080
Slc1a4,481,663,898,1528,2857,860,1044,1217
Sertad2,981,1202,1180,1724,1101,1272,675,1206
Aftph,642,694,858,876,1154,992,746,1117
Lgalsl,527,695,1214,1362,1664,686,879,1004
Peli1,546,590,556,538,849,549,380,571
Vps54,851,949,1037,1412,1087,1328,640,1148
Ugp2,810,1114,2348,2128,1529,770,1360,1601
Mdh1,3220,3522,2433,4705,3404,2697,2192,2772
Wdpcp,110,119,94,313,313,89,123,122
Otx1,0,0,17,144,1,8,3,14
Ehbp1,528,616,672,1247,755,471,524,697
Tmem17,34,40,77,114,75,31,38,58
B3gnt2,386,420,751,424,1017,674,504,683
Commd1,405,451,542,792,999,514,545,811
Cct4,4397,5425,6068,9658,8017,9295,5388,9472
Fam161a,13,26,107,93,91,22,64,26
Xpo1,5556,6625,5162,7961,6657,9118,5266,10160
Usp34,2397,3524,3183,5137,3352,4450,2615,5156
Ahsa2,311,368,544,714,469,392,415,491
1700093K21Rik,1,7,2,2,0,1,0,1
Sanbr,395,441,643,786,868,744,660,983
Pex13,442,459,494,772,618,343,468,627
Pus10,794,849,659,1386,1314,1044,915,1598
Rel,263,211,263,422,332,232,180,288
Papolg,302,322,315,750,467,397,283,405
Bcl11a,6,3,96,506,402,49,3,30
Fancl,121,172,143,178,149,89,97,129
Vrk2,147,140,134,240,189,163,133,202
Ccdc85a,0,0,96,0,6,0,11,2
Efemp1,49,26,842,183,164,41,737,782
Pnpt1,2667,2480,754,736,1311,1331,981,1696
Ppp4r3b,1131,1473,1017,1804,1554,1619,1008,1716
Cfap36,402,408,596,1024,562,413,387,582
Ccdc88a,677,740,1251,1687,1179,964,829,1416
Prorsd1,136,142,191,221,194,120,174,163
Mtif2,622,716,613,1091,1042,805,472,637
Rps27a,13580,11594,8637,17342,25014,13808,9820,13449
Clhc1,12,9,9,10,6,3,2,6
Rtn4,3541,4019,15583,7293,6485,7354,8123,11101
Eml6,36,47,59,105,61,33,23,29
Fem1al,1,2,2,1,0,9,2,1
Sptbn1,3286,3850,12115,9785,8359,7117,6589,7937
Acyp2,43,31,102,97,42,39,58,106
Psme4,2240,2502,2714,3344,4182,3422,2655,4558
Erlec1,565,447,1018,1044,881,453,559,501
Gpr75,2,2,4,6,10,0,0,1
Asb3,259,295,368,486,460,326,309,317
Chac2,105,142,163,89,144,100,143,115
Stc2,223,201,342,206,1489,617,389,325
Bod1,1076,1170,868,1200,1529,1155,961,1396
Cpeb4,670,635,1099,598,907,664,425,425
4930524B15Rik,0,0,0,2,0,0,0,0
Nsg2,89,79,7,83,15,1,0,0
Il9r,56,91,0,1,4,0,1,5
Snrnp25,738,644,375,755,589,603,401,541
Rhbdf1,1332,953,2002,1491,1978,996,1244,1491
Mpg,438,324,352,445,532,292,305,478
Nprl3,465,421,464,690,652,380,367,493
Hba-x,0,0,0,0,0,0,0,0
Hba-a1,1,1,0,0,0,0,0,0
Hbq1b,1,0,0,0,0,0,0,0
Hba-a2,0,0,0,0,0,0,0,0
Hbq1a,0,0,0,0,0,5,0,0
Sh3pxd2b,2720,3415,2639,3543,3065,1288,3228,2858
Ubtd2,842,1250,733,1573,893,790,827,877
Efcab9,18,30,2,15,6,10,1,15
Stk10,909,625,418,520,364,380,264,256
Fbxw11,1457,1712,2255,3268,2896,2308,1840,2456
Smim23,0,7,0,0,0,0,0,0
Fgf18,18,11,85,20,18,20,2,3
Npm1,23564,29535,17453,39940,34431,41951,18954,38999
Tlx3,2,5,5,1,2,2,3,4
Ranbp17,157,86,142,196,162,197,126,246
Gabrp,3,1,1,4,0,0,0,0
Kcnip1,0,0,1,0,0,0,4,7
Kcnmb1,18,1,563,0,37,0,214,41
4930469K13Rik,0,0,0,2,0,0,0,1
Lcp2,9,0,32,2,4,0,21,0
Foxi1,0,0,0,0,0,0,0,0
Dock2,15,0,10,0,2,1,18,4
Insyn2b,0,0,0,0,0,0,0,0
Spdl1,596,759,615,971,824,888,667,1102
Slit3,2048,1863,4103,310,1625,59,2009,232
Pank3,1578,1917,2359,2592,2344,1921,1834,2769
Fbll1,0,0,1,0,2,1,0,0
Rars1,3475,3588,2933,3928,7118,4878,3571,5209
Wwc1,2786,3484,929,2770,2024,2703,579,1963
Tenm2,0,8,9,7,0,0,0,0
Mat2b,1065,1226,1132,2278,1380,1270,1094,1306
Hmmr,1812,3005,2059,3879,2679,3267,1927,3001
Nudcd2,1434,1529,1409,2067,2316,1545,1419,1867
Ccng1,654,643,4290,1270,1629,1073,1774,1330
Gabrg2,0,0,0,0,0,0,0,0
Gabra1,0,0,4,0,33,0,49,28
Gabra6,0,0,0,0,0,0,0,0
Gabrb2,0,0,7,0,6,0,26,11
Atp10b,4,0,6,7,12,0,2,0
Pttg1,296,218,211,260,305,226,238,241
Slu7,1006,961,853,1567,1499,1068,842,1119
C1qtnf2,15,4,287,1,32,0,64,3
Ccnjl,9,22,37,30,74,9,14,15
Fabp6,0,0,0,0,0,0,0,0
Pwwp2a,594,616,446,911,668,681,366,634
Ttc1,562,629,692,955,1077,973,602,958
Adra1b,9,8,94,24,4,29,19,35
Il12b,0,1,0,0,0,0,0,2
Ublcp1,699,660,756,1002,1247,990,592,914
Rnf145,1469,1856,2641,2158,1793,1774,1862,2039
Ebf1,135,143,952,2042,191,303,657,920
Clint1,3136,3924,4081,5082,6881,3836,3328,4481
Lsm11,280,311,519,519,575,466,402,421
Thg1l,335,401,357,531,336,402,296,492
Sox30,1,0,20,5,4,0,4,4
Adam19,204,7,8607,211,1784,137,3382,972
Nipal4,10,1,112,6,29,9,43,16
Cyfip2,31,14,36,5,252,63,63,24
Fndc9,0,0,0,0,0,0,1,0
Itk,1,1,0,1,2,2,0,0
Garin3,2,0,0,0,0,0,0,0
Med7,357,342,399,432,531,393,343,459
Havcr2,15,0,67,6,19,9,17,41
Timd5,0,0,0,0,0,0,0,0
Timd6,0,0,0,0,0,0,0,0
Dppa1,0,0,0,0,0,0,0,0
Timd2,0,0,0,0,5,0,0,0
Havcr1,0,0,3,0,0,0,0,0
Timd4,0,0,0,0,1,0,0,0
Sgcd,163,213,211,335,256,75,73,51
Rack1,25575,22979,25015,43986,54252,35640,26246,32814
Trim41,697,672,796,1253,1068,764,632,836
Trim7,329,547,439,561,506,417,416,553
Irgm1,1920,188,1148,240,986,245,738,492
Gm5431,8,1,4,0,4,0,0,3
Gm12185,75,0,9,0,6,0,7,4
Psme2b,126,69,97,97,89,31,133,63
9930111J21Rik1,55,4,259,4,197,33,175,147
Tgtp1,2252,26,28,13,115,13,67,28
9930111J21Rik2,50,5,194,4,152,33,134,107
Tgtp2,2615,31,37,36,163,12,111,63
Ifi47,857,14,163,7,142,9,408,136
Or2v2,2,0,0,0,0,0,0,0
Or2v1,0,0,1,0,0,0,0,0
Or2t26,0,0,0,0,0,0,0,0
Or2o1,0,0,0,0,0,0,0,0
Btnl9,0,0,1,0,2,0,1,0
Zfp62,538,482,444,796,793,489,385,450
Mgat1,1013,1033,2887,2043,1696,1528,1651,1875
Or2y1g,2,0,2,2,6,0,3,10
Or2y1f,0,0,0,0,0,0,0,2
Or2y1b,0,0,0,0,0,0,0,0
Or2y1e,0,0,0,0,0,0,0,0
Or2y17,0,0,0,0,0,0,0,0
Or2y1d,0,0,0,0,0,0,0,0
Or2y16,0,0,0,0,0,0,0,0
Or2y15,0,0,0,0,0,0,0,0
Or2y1c,0,0,0,0,0,0,0,0
Or2y1,0,0,0,0,0,0,0,0
Or2y14,0,0,0,0,0,0,0,0
Or2y13,0,0,0,0,0,0,0,0
Or2y12,0,0,0,0,0,0,0,0
Or2y11,0,0,0,0,0,0,0,0
Or2y10,0,0,0,0,0,0,0,0
1700024J04Rik,7,5,0,0,0,0,0,0
Flt4,30,19,428,2,54,9,24,21
Scgb3a1,0,0,0,0,0,0,2,0
Cnot6,4163,5607,3308,7376,5966,4592,3100,5008
Gfpt2,106,50,1154,796,833,299,598,198
Mapk9,613,655,1235,1254,1349,921,889,1037
Rasgef1c,2,0,10,10,200,0,2,0
Rnf130,870,783,673,461,1445,418,589,603
Tbc1d9b,1073,1140,2306,2875,2368,1573,1535,1476
Mrnip,97,106,59,149,221,106,58,51
Sqstm1,6428,5529,5999,5810,13115,7425,7292,8450
Mgat4b,1314,1694,2073,1943,2939,2318,2134,2826
Ltc4s,2,7,11,3,10,7,22,10
Maml1,831,975,1187,1296,1396,1184,969,1268
Canx,10622,13394,14503,17036,14228,12866,12725,16408
Cby3,0,0,0,0,0,0,0,0
Hnrnph1,7192,8433,6521,11502,7586,11364,6515,9624
Rufy1,367,316,406,224,550,395,352,258
Adamts2,352,13,6579,472,1566,328,2499,474
Zfp354c,339,282,231,748,457,202,342,198
Zfp879,19,12,9,27,11,5,2,5
Grm6,0,0,0,0,0,0,0,0
Zfp454,13,5,32,59,77,16,22,18
Zfp2,85,74,71,188,188,48,62,135
Zfp354b,8,8,27,38,34,25,14,10
Prop1,0,0,0,0,0,0,0,0
Or1ad6,0,0,0,0,0,0,0,0
Or1ad1,0,0,0,0,0,0,0,0
Or1ad8,0,0,0,0,0,0,0,0
Or1x2,0,0,0,0,0,0,0,0
Or1x6,0,0,0,0,0,0,0,0
Zfp354a,86,77,75,124,125,68,70,117
Msantd5,0,0,0,0,0,0,2,0
Msantd5l,3,0,5,13,14,1,4,4
Clk4,644,585,489,958,796,430,377,708
Col23a1,402,75,40,39,11,5,5,6
Phykpl,515,657,436,866,622,668,351,560
Hnrnpab,13647,16519,14638,19435,17173,21478,12561,23400
Nhp2,3121,3402,1959,2641,3823,4946,1874,4007
Rmnd5b,511,527,598,628,900,729,379,393
N4bp3,330,235,187,154,339,215,81,157
Trappc2b,273,271,285,431,352,224,220,292
Sec24a,544,691,1226,1086,786,853,890,828
Sar1b,1001,875,1178,1367,1424,1054,880,933
Jade2,586,830,269,335,488,546,135,329
Cdkn2aipnl,938,985,593,1135,2110,1529,627,839
Ube2b,1666,1637,1355,2305,2352,1621,1331,1492
Cdkl3,51,101,101,118,133,80,76,83
Ppp2ca,4814,5353,5351,8556,7253,6737,4804,7245
Or2y8,0,0,0,0,0,0,0,0
Or2y6,0,0,0,0,0,0,0,0
Skp1,4166,4762,3103,5310,4535,4725,2870,4877
Tcf7,4777,4207,98,242,659,459,151,196
Vdac1,5080,6574,6030,8842,6787,7744,5217,8535
9530068E07Rik,3315,3870,5584,7018,5575,3737,4592,4923
Fstl4,1,11,2,0,31,0,0,0
Hspa4,7367,9557,10171,10669,12744,16880,7624,13418
Zcchc10,311,342,325,427,645,638,238,429
Aff4,2539,3352,5322,4436,5439,5282,3417,4351
Leap2,2,2,1,0,0,0,0,0
Uqcrq,2128,1796,1635,1888,3453,1571,1288,1714
Gdf9,7,4,5,21,15,5,13,9
Shroom1,60,43,108,189,88,63,45,55
Sowaha,0,0,0,1,10,0,0,1
Septin8,414,481,2649,2264,2581,747,1557,991
Kif3a,569,642,655,1345,1205,668,580,653
Il4,0,0,0,0,0,0,0,0
Il13,0,0,0,0,0,1,0,0
Rad50,1206,1296,1172,1788,1865,1650,1013,1826
Il5,0,0,0,0,2,2,0,0
Irf1,1652,536,508,808,622,388,963,732
Slc22a5,233,208,373,441,358,180,148,197
Slc22a21,65,60,169,190,72,37,65,77
Slc22a4,26,18,36,59,11,21,36,65
Pdlim4,1619,1615,263,684,530,179,136,72
P4ha2,952,1290,3741,2085,1476,597,2969,1369
Csf2,0,0,0,0,11,3,1,0
Il3,0,0,0,0,0,0,0,0
Acsl6,43,11,60,91,142,16,99,154
Meikin,0,0,0,0,0,0,0,1
Fnip1,633,536,950,954,1071,1012,793,1190
Rapgef6,939,1210,1242,2283,1377,1654,758,1438
Cdc42se2,949,1074,1058,1405,1889,1315,1145,1629
Lyrm7,55,51,25,130,76,18,32,33
Hint1,4604,3782,3181,5534,6166,4363,3294,5383
Gpx3,207,78,3546,544,2755,675,367,54
Tnip1,1690,889,1261,887,915,578,922,766
Anxa6,4614,5308,12093,12182,6659,3890,7713,5868
Ccdc69,1,0,8,4,14,26,2,3
Gm2a,255,245,924,322,1008,428,462,322
Slc36a3,0,0,0,0,1,0,0,0
Slc36a2,22,23,4,0,0,0,0,0
Slc36a1,964,875,854,829,513,334,378,540
Fat2,14,12,3,17,0,10,0,2
Sparc,19046,17516,86383,38646,30312,4813,44594,17719
Atox1,932,991,911,1366,1056,1010,821,1287
G3bp1,8912,11901,7362,14575,11475,13234,7615,12575
Glra1,0,0,0,1,0,1,0,2
Nmur2,0,0,0,0,0,0,0,0
Gria1,0,0,1,0,7,0,0,0
Fam114a2,1044,1232,1065,2108,1648,1363,951,1250
Mfap3,980,1053,899,1656,1343,1082,794,971
Galnt10,1361,1979,1741,1810,1117,1028,1629,2354
Sap30l,593,499,586,985,596,637,545,854
Hand1,0,0,0,0,0,12,0,0
Larp1,6775,9049,7355,10445,9771,11450,6183,11043
Faxdc2,7,10,19,5,54,25,5,4
Cnot8,1178,1230,1157,1736,1978,1376,1280,1475
Gemin5,2012,2529,2066,3631,3385,4592,1986,4266
Mrpl22,573,622,421,631,849,808,438,740
Gm12250,546,11,7,15,16,35,13,14
Igtp,2489,32,18,21,67,19,72,26
Irgm2,1991,96,69,92,221,42,197,75
4930438A08Rik,27,11,0,0,0,0,0,0
Zfp692,626,465,318,711,674,432,335,518
Zfp672,405,346,432,739,356,579,210,354
Sh3bp5l,611,672,1085,1164,1037,716,784,879
Lypd8,0,0,0,0,0,0,0,0
1810065E05Rik,1,0,8,0,2,0,5,0
Gm12253,0,0,0,0,0,0,0,0
Lypd9,0,0,0,0,0,0,0,0
Or2z2,0,0,0,0,0,0,0,0
Or2av9,0,0,0,0,0,0,0,0
Or2t49,0,0,0,0,0,0,0,0
Or2t48,0,0,0,0,0,0,0,0
Or2t29,0,0,0,0,0,0,0,0
Or2t47,0,0,0,0,0,0,0,0
Or2t43,0,3,0,0,0,0,0,0
Or2t46,0,0,0,0,0,0,0,0
Or2ab1,0,0,0,0,0,0,0,0
Lypd8l,0,0,1,0,0,0,0,0
Or11l3,0,0,3,0,0,0,0,0
Trim58,0,0,2,0,1,1,24,1
Or2w3,0,0,0,0,0,0,0,0
