,BC07_tumor,BC07,BC08_tumor,BC08,BC09_tumor,BC09,BC10_tumor,BC10
Pear1,438,614,867,123,325,135,631,457
Ntrk1,7,2,17,2,6,1,15,6
Insrr,2,3,4,0,2,0,0,0
Sh2d2a,2,1,0,0,0,0,0,0
Prcc,1999,1790,954,1339,1502,1425,1052,1506
Hdgf,14230,15194,8515,10429,14574,15864,11546,21574
Mrpl24,1020,1011,529,827,1149,590,515,642
Mettl25b,448,320,227,320,335,235,224,347
Isg20l2,2045,2080,901,1322,2869,2258,1343,2143
Crabp2,472,206,127,210,338,23,84,29
Nes,889,1802,3268,820,2559,868,2087,1948
Bcan,0,9,10,0,129,4,5,0
Hapln2,0,0,2,0,2,0,0,0
Gpatch4,944,957,501,751,960,1170,561,1083
Naxe,764,707,600,1095,949,575,672,631
Ttc24,0,0,0,0,0,0,0,0
Iqgap3,1033,1454,1226,1689,1137,1156,923,1544
Mef2d,2733,2924,2250,2151,3105,2309,2009,2827
Rhbg,0,0,2,0,0,0,0,0
Tsacc,83,45,40,46,46,70,14,47
Cct3,13828,15249,8030,10949,12586,15007,9634,16257
Glmp,1028,946,1496,959,1376,956,1441,1445
Tmem79,92,84,53,50,90,63,70,78
Smg5,3903,4125,2291,2153,3535,4125,3040,5976
Paqr6,50,62,2,5,90,5,4,6
Bglap3,1388,737,0,0,3,0,2,0
Bglap2,9,4,0,1,0,0,0,0
Bglap,12,7,0,0,3,1,0,4
Pmf1,1991,2096,721,1303,1354,1474,1086,2040
Slc25a44,998,868,760,1027,874,992,643,902
Sema4a,493,422,31,29,105,52,56,33
Lmna,9768,10787,11073,20661,7978,13470,9822,16487
Mex3a,1825,2656,773,2471,1886,1017,1369,1685
Rab25,2,6,6,4,21,0,2,7
Lamtor2,524,519,356,547,693,419,401,422
Ubqln4,3238,3408,2039,2960,3148,3827,2292,3976
Ssr2,4803,4438,2671,3551,4325,3136,3534,3478
Arhgef2,3637,3351,3783,2599,8019,2763,4927,3548
Rxfp4,1,0,0,0,0,0,1,0
Khdc4,1657,1230,1182,1291,1399,1292,849,1483
Rit1,431,291,568,298,519,308,459,405
Syt11,715,795,624,734,743,556,835,910
Gon4l,2490,2478,1360,2055,2347,2391,1536,2501
Msto1,1790,1484,1085,1291,1121,1062,863,1211
Dap3,1985,2188,1431,1860,2548,2299,1882,2362
Ash1l,2521,2742,2283,2503,2200,2503,1580,2815
Rusc1,313,330,451,183,322,183,263,96
Fdps,4334,3992,2391,2427,3378,1442,5196,4648
Pklr,0,0,0,0,0,0,0,1
Hcn3,20,23,42,66,84,38,14,30
Gm45927,3,1,2,1,1,0,0,4
Clk2,190,127,83,145,167,75,98,130
Scamp3,63,68,56,41,61,44,36,55
Entrep3,341,186,674,461,592,235,659,466
Gba1,1180,951,1427,958,1177,777,1157,1079
Mtx1,385,396,201,218,304,336,201,325
Thbs3,4029,3025,684,1158,515,174,981,1259
Muc1,349,191,56,33,48,18,53,60
Trim46,941,723,346,166,315,72,272,129
Krtcap2,1868,1796,1348,1293,2595,1450,1328,1073
Dpm3,517,413,185,377,371,157,214,181
Slc50a1,497,394,574,648,697,462,376,291
Efna1,658,538,74,193,364,198,57,38
Efna3,104,123,39,42,72,28,53,23
Efna4,293,282,175,206,127,98,238,218
Adam15,1948,2049,2551,1342,2305,1898,2170,1971
Dcst1,6,5,7,15,9,3,7,2
Dcst2,16,23,1,6,4,3,3,5
Zbtb7b,666,581,1095,447,1053,591,897,642
Lenep,69,39,19,58,43,17,14,23
Flad1,599,535,307,508,524,316,290,366
Cks1b,3149,3316,1858,2057,2950,2939,2157,3020
Shc1,2976,2707,3984,2744,3651,2319,3441,3433
Pygo2,1988,1854,1409,1518,1819,1701,1332,1909
Pbxip1,1738,1145,4404,1070,1861,559,1947,876
Pmvk,470,500,284,410,410,208,438,421
Kcnn3,67,33,11,2,35,2,13,1
Adar,1734,675,775,616,1220,952,702,900
Chrnb2,13,20,9,9,21,17,8,11
Ube2q1,1659,1766,1622,1381,1848,1403,1554,1900
She,7,0,95,1,13,2,11,6
Il6ra,855,380,151,51,228,455,137,139
Atp8b2,3390,2870,3079,2045,2272,1935,2355,2116
Hax1,1561,1518,865,1033,3260,1643,1178,1426
Ubap2l,6012,6850,4829,6357,5135,7500,4189,6982
4933434E20Rik,1025,949,814,809,1480,1040,877,1281
Cfap141,91,69,44,69,72,57,53,80
Tpm3,8104,9533,10226,7261,9209,11806,9600,13678
Nup210l,33,37,53,33,34,28,29,40
Rps27,3910,4141,2364,3398,5190,3594,2684,3902
Rab13,169,173,256,238,254,116,215,164
Jtb,1028,862,599,614,877,609,599,607
Creb3l4,25,37,39,50,48,28,30,30
Slc39a1,2168,1785,3940,2073,3920,1724,3058,1766
Crtc2,1182,1060,798,821,1034,980,735,1174
Dennd4b,214,233,295,393,364,158,291,193
Gatad2b,2207,2484,1752,2285,2908,1947,1313,2125
Slc27a3,709,285,120,408,97,98,200,188
Ints3,2673,2763,1851,2157,2437,2641,1738,3233
Npr1,55,36,98,34,74,30,35,27
Ilf2,2743,3043,1818,2446,2466,2923,2195,3376
Snapin,675,629,961,786,1012,704,716,663
Chtop,3347,3598,2132,3094,3554,3550,2555,3899
S100a1,249,233,406,166,365,141,176,171
S100a13,141,132,279,120,141,135,120,142
S100a14,5,2,19,0,46,8,0,7
S100a16,42,13,1389,59,224,56,214,38
S100a3,26,36,24,39,10,55,19,113
S100a2,0,0,1,0,0,1,0,1
S100a4,1467,3462,3571,1987,275,463,2421,6669
S100a5,12,17,1,4,0,6,7,19
Gm57853,10,3,126,2,8,45,17,99
S100a6,36,15,39,16,5,50,28,29
S100a7a,0,0,0,0,0,0,0,0
S100a8,0,0,150,0,1,0,10,9
S100a9,0,0,0,0,0,0,0,0
Pglyrp4,0,1,0,0,0,0,0,0
LOC118568639,0,0,0,0,0,0,0,0
S100a7l2,0,0,0,0,0,0,0,0
Gm36323,0,0,0,0,0,0,0,0
Gm35185,0,0,0,0,0,0,0,0
Pglyrp3,0,0,3,0,0,0,3,0
Loricrin,106,101,11,1,4,13,3,1
Prr9,2,2,14,2,9,2,0,1
Lelp1,0,0,0,0,1,0,0,0
Sprr2a1,11,0,19,0,6,0,0,0
Sprr2a2,11,0,21,0,6,0,0,0
Sprr2a3,1,0,3,0,1,0,0,0
Sprr2b,0,0,0,0,0,0,0,0
Sprr2d,0,1,0,0,0,0,0,0
Sprr2e,0,0,0,0,0,0,0,0
Sprr2f,0,0,0,0,0,0,0,0
Sprr2g,0,0,0,0,0,0,0,0
Sprr2h,0,0,42,0,4,0,0,0
Sprr2i,0,0,0,0,0,0,0,0
Sprr2k,0,0,7,0,1,0,0,2
Sprr1b,0,0,0,0,0,0,0,0
Sprr3,0,0,5,0,0,0,2,0
Sprr1a,9,0,311,2,67,13,3,1
Sprr4,0,0,0,0,0,0,0,0
Ivl,0,2,156,2,10,0,4,2
Smcp,0,0,0,0,0,0,0,0
Lce6a,0,4,0,0,0,0,0,0
Lce1a1,0,5,0,0,0,0,0,0
Lce1b,0,0,0,0,0,0,0,0
Lce1a2,0,0,0,0,0,0,0,0
Lce1c,0,0,0,0,0,0,0,0
Lce1d,0,0,0,0,0,0,0,0
Lce1e,0,0,0,0,0,0,0,0
Lce1f,0,1,1,0,0,0,0,0
Lce1g,0,0,3,0,0,0,0,0
Lce1h,0,3,8,0,0,0,0,0
Lce1i,0,1,0,0,0,0,0,0
Lce1j,0,0,0,0,0,0,0,0
Lce1k,0,0,0,0,0,0,0,0
Kprp,0,0,53,0,6,4,0,0
Lce1l,0,0,26,1,0,9,0,0
Kplce,0,0,0,0,0,0,0,0
Lce3a,0,0,0,0,0,0,0,0
Lce3b,0,0,0,0,0,0,0,0
Lce3c,0,0,0,0,0,0,0,0
Lce3d,0,0,0,0,0,0,0,0
Lce3e,0,0,0,0,0,0,0,0
Lce3f,0,0,0,0,0,0,0,0
Crct1,0,0,13,2,0,1,5,2
Lce1m,0,0,0,0,0,0,0,0
Tdpoz8,0,0,0,0,0,0,0,0
Crnn,0,0,0,0,0,0,0,0
Flg2,0,0,0,0,0,0,0,0
Flg,0,9,0,1,0,0,0,0
Hrnr,0,0,0,0,0,0,0,0
Rptn,0,0,0,0,0,0,0,0
Tchh,42,81,58,6,63,11,23,7
Tchhl1,0,0,0,0,0,0,0,0
S100a11,1979,2109,6841,2886,1676,2332,3851,4561
S100a10,3327,3662,1410,1992,1554,3010,1603,3167
Tdpoz2,0,0,0,0,0,0,0,0
Tdpoz1,0,0,0,0,0,0,0,0
Tdpoz4,0,1,0,0,0,0,0,0
Tdpoz3,1,0,0,0,0,0,0,0
Tdpoz5,0,0,0,0,0,0,0,0
Tdpoz9,0,0,0,0,0,0,0,0
Tdpoz7,0,0,0,0,0,0,0,0
Spopfm2,1,0,0,0,0,0,0,0
Them4,115,118,77,75,206,103,76,132
Them5,0,0,1,0,0,0,0,0
C2cd4d,0,0,0,0,6,0,3,0
Rorc,39,35,2,6,32,2,0,0
Lingo4,0,0,0,1,0,0,1,0
Tdrkh,500,393,129,156,816,233,155,276
Oaz3,0,0,0,0,0,2,1,0
Mrpl9,1448,1559,650,927,1728,1401,860,1465
Riiad1,5,7,4,4,6,2,4,1
Celf3,11,12,4,6,18,9,3,8
Snx27,1656,2249,1313,1461,1573,1710,1134,2110
Tuft1,141,134,181,121,251,181,94,176
Selenbp2,12,5,1,0,3,2,2,0
Cgn,21,42,19,6,111,90,26,31
Pogz,1435,1529,735,1144,1103,1122,761,1314
Psmb4,7580,5857,3384,3493,4621,5137,3851,4850
Selenbp1,277,281,46,82,215,22,111,39
Rfx5,528,464,201,804,475,244,312,383
Pi4kb,481,491,411,405,551,493,346,444
Zfp687,1213,1156,847,1141,1164,802,887,1063
Psmd4,3970,3620,2328,2392,3386,3644,2629,4102
Pip5k1a,1601,1800,1563,1194,2234,2066,2006,2341
Gm40095,4,24,9,8,13,17,16,22
Vps72,1276,1052,614,1062,1523,1060,806,1266
Tmod4,4,14,1,6,5,4,0,8
Scnm1,347,301,190,255,410,288,222,293
Lysmd1,200,206,102,178,207,138,124,103
Tnfaip8l2,10,2,4,14,5,11,7,6
Sema6c,26,22,106,230,99,48,109,78
Gabpb2,2367,2766,981,1868,2243,2647,1299,2415
Mllt11,486,458,486,337,412,170,374,608
Cdc42se1,2063,2233,1813,1552,2476,1680,1838,2134
Gm128,81,23,0,0,1,1,9,4
Bnipl,1,4,1,2,0,0,1,8
Prune1,1005,1117,509,728,930,559,683,613
Mindy1,2306,1705,601,560,1106,577,507,561
Anxa9,92,48,9,31,48,42,43,93
Gm53243,0,1,1,3,0,0,0,0
Cers2,2807,2546,2695,2287,3157,3162,2276,3268
Setdb1,2395,2380,1034,1829,1696,1652,1554,2055
Gm37500,6,10,6,10,2,3,5,6
Ctxnd2,0,4,0,0,0,0,0,0
Arnt,1896,2111,1411,1995,2402,1789,1674,1770
Ctsk,523,270,1291,58,493,140,493,144
Ctss,71,2,187,0,22,0,165,8
Hormad1,0,1,0,0,0,0,0,0
Golph3l,773,559,390,596,730,454,383,379
Ensa,2280,2174,1372,1803,2356,1446,1434,1681
Mcl1,4235,4845,3283,3835,4053,3894,2879,4368
Adamtsl4,384,327,440,344,209,44,159,315
Ecm1,1501,576,2672,362,518,397,820,926
Tars2,1497,1546,752,1230,1568,1347,742,1359
Rprd2,1071,1144,792,1040,1047,1031,782,1115
Prpf3,1319,1524,665,898,1103,1609,904,1697
Mrps21,678,621,477,552,601,586,516,648
Ciart,241,206,52,46,221,71,92,121
BC028528,16,8,44,6,19,5,40,31
Aph1a,2459,2315,2625,1942,3294,1875,2209,2616
Car14,16,28,3,8,932,55,8,11
Anp32e,5815,7194,2587,4792,5809,5225,3792,6353
Plekho1,256,260,1020,383,1049,277,965,647
Vps45,371,391,321,409,503,316,271,342
Otud7b,1590,1510,1349,1006,1948,1550,1277,1740
Mtmr11,161,112,367,240,292,81,320,321
Sf3b4,2561,2775,1943,2305,2303,2976,2034,3652
Sv2a,51,90,27,92,50,27,27,38
Bola1,586,415,247,444,442,323,267,446
H2ac21,0,0,0,1,2,0,0,1
H2ac20,0,3,0,0,1,13,1,4
H2bc21,48,46,32,38,57,22,48,57
H3c15,34,25,32,26,34,15,43,13
H2ac19,124,58,210,70,101,52,77,53
H2ac18,120,53,218,74,106,48,72,49
H3c14,35,19,33,28,31,15,43,16
H4c14,2,2,0,6,4,0,2,2
H3c13,27,11,11,15,16,12,21,17
H2bc18,0,9,1,1,0,5,1,4
Fcgr1,9,0,5,1,3,0,5,5
BC107364,1,4,3,12,1,1,0,0
Hjv,0,1,1,0,0,0,0,0
Txnip,1308,1329,1848,1753,4301,912,1748,1063
Polr3gl,489,431,192,523,834,261,252,262
Ankrd34a,94,173,203,342,483,201,261,161
Lix1l,1029,1157,1787,3066,2508,1169,1812,1736
Rbm8a,2208,2468,1108,1750,2133,2278,1434,2327
